study_accession	sample_accession	run_accession	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	experiment_alias	fastq_ftp	fastq_aspera	sample_alias	sample_title
PRJNA302818	SAMN04280364	SRR2936973			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2936973/SRR2936973.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2936973/SRR2936973.fastq.gz	GSM1945914	4sU-seq of YRI individual (NA18486) [18486-30-1_D2775ACXX-3-07]
PRJNA302818	SAMN04280365	SRR2936974			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945915	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2936974/SRR2936974.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2936974/SRR2936974.fastq.gz	GSM1945915	4sU-seq of YRI individual (NA18486) [18486-30-2_D2775ACXX-8-18]
PRJNA302818	SAMN04280366	SRR2936975			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945916	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2936975/SRR2936975.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2936975/SRR2936975.fastq.gz	GSM1945916	4sU-seq of YRI individual (NA18486) [18486-60-1_D2775ACXX-3-08]
PRJNA302818	SAMN04280367	SRR2936976			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2936976/SRR2936976.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2936976/SRR2936976.fastq.gz	GSM1945917	4sU-seq of YRI individual (NA18486) [18486-60-2_D2775ACXX-8-19]
PRJNA302818	SAMN04280368	SRR2936977			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945918	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2936977/SRR2936977.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2936977/SRR2936977.fastq.gz	GSM1945918	4sU-seq of YRI individual (NA18489) [18489-30-1_D2775ACXX-7-05]
PRJNA302818	SAMN04280369	SRR2936978			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2936978/SRR2936978.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2936978/SRR2936978.fastq.gz	GSM1945919	4sU-seq of YRI individual (NA18489) [18489-60-1_D2775ACXX-7-06]
PRJNA302818	SAMN04280370	SRR2936979			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2936979/SRR2936979.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2936979/SRR2936979.fastq.gz	GSM1945920	4sU-seq of YRI individual (NA18498) [18498-30-1_D2775ACXX-8-25]
PRJNA302818	SAMN04280371	SRR2936980			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2936980/SRR2936980.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2936980/SRR2936980.fastq.gz	GSM1945921	4sU-seq of YRI individual (NA18498) [18498-30-2_C30BHACXX-8-22]
PRJNA302818	SAMN04280372	SRR2936981			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2936981/SRR2936981.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2936981/SRR2936981.fastq.gz	GSM1945922	4sU-seq of YRI individual (NA18498) [18498-30-2_C30NNACXX-8-22]
PRJNA302818	SAMN04280373	SRR2936982			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945923	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2936982/SRR2936982.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2936982/SRR2936982.fastq.gz	GSM1945923	4sU-seq of YRI individual (NA18498) [18498-30-2_C311JACXX-8-22]
PRJNA302818	SAMN04280374	SRR2936983			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945924	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2936983/SRR2936983.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2936983/SRR2936983.fastq.gz	GSM1945924	4sU-seq of YRI individual (NA18498) [18498-60-1_D2775ACXX-8-27]
PRJNA302818	SAMN04280375	SRR2936984			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2936984/SRR2936984.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2936984/SRR2936984.fastq.gz	GSM1945925	4sU-seq of YRI individual (NA18498) [18498-60-2_C30BHACXX-8-23]
PRJNA302818	SAMN04280376	SRR2936985			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2936985/SRR2936985.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2936985/SRR2936985.fastq.gz	GSM1945926	4sU-seq of YRI individual (NA18498) [18498-60-2_C30NNACXX-8-23]
PRJNA302818	SAMN04280377	SRR2936986			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2936986/SRR2936986.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2936986/SRR2936986.fastq.gz	GSM1945927	4sU-seq of YRI individual (NA18498) [18498-60-2_C311JACXX-8-23]
PRJNA302818	SAMN04280378	SRR2936987			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945928	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2936987/SRR2936987.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2936987/SRR2936987.fastq.gz	GSM1945928	4sU-seq of YRI individual (NA18499) [18499-30-1_C30BHACXX-3-05]
PRJNA302818	SAMN04280379	SRR2936988			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945929	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2936988/SRR2936988.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2936988/SRR2936988.fastq.gz	GSM1945929	4sU-seq of YRI individual (NA18499) [18499-30-1_C30NNACXX-3-05]
PRJNA302818	SAMN04280380	SRR2936989			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945930	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2936989/SRR2936989.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2936989/SRR2936989.fastq.gz	GSM1945930	4sU-seq of YRI individual (NA18499) [18499-30-1_C311JACXX-3-05]
PRJNA302818	SAMN04280381	SRR2936990			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2936990/SRR2936990.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2936990/SRR2936990.fastq.gz	GSM1945931	4sU-seq of YRI individual (NA18499) [18499-60-1_C30BHACXX-3-06]
PRJNA302818	SAMN04280382	SRR2936991			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2936991/SRR2936991.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2936991/SRR2936991.fastq.gz	GSM1945932	4sU-seq of YRI individual (NA18499) [18499-60-1_C30NNACXX-3-06]
PRJNA302818	SAMN04280383	SRR2936992			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2936992/SRR2936992.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2936992/SRR2936992.fastq.gz	GSM1945933	4sU-seq of YRI individual (NA18499) [18499-60-1_C311JACXX-3-06]
PRJNA302818	SAMN04280384	SRR2936993			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2936993/SRR2936993.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2936993/SRR2936993.fastq.gz	GSM1945934	4sU-seq of YRI individual (NA18501) [18501-30-1_C30BHACXX-5-01]
PRJNA302818	SAMN04280385	SRR2936994			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945935	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2936994/SRR2936994.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2936994/SRR2936994.fastq.gz	GSM1945935	4sU-seq of YRI individual (NA18501) [18501-30-1_C30NNACXX-5-01]
PRJNA302818	SAMN04280386	SRR2936995			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2936995/SRR2936995.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2936995/SRR2936995.fastq.gz	GSM1945936	4sU-seq of YRI individual (NA18501) [18501-30-1_C311JACXX-5-01]
PRJNA302818	SAMN04280387	SRR2936996			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945937	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2936996/SRR2936996.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2936996/SRR2936996.fastq.gz	GSM1945937	4sU-seq of YRI individual (NA18501) [18501-60-1_C30BHACXX-5-02]
PRJNA302818	SAMN04280388	SRR2936997			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2936997/SRR2936997.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2936997/SRR2936997.fastq.gz	GSM1945938	4sU-seq of YRI individual (NA18501) [18501-60-1_C30NNACXX-5-02]
PRJNA302818	SAMN04280389	SRR2936998			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2936998/SRR2936998.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2936998/SRR2936998.fastq.gz	GSM1945939	4sU-seq of YRI individual (NA18501) [18501-60-1_C311JACXX-5-02]
PRJNA302818	SAMN04280390	SRR2936999			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2936999/SRR2936999.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2936999/SRR2936999.fastq.gz	GSM1945940	4sU-seq of YRI individual (NA18502) [18502-30-1_C30BHACXX-4-18]
PRJNA302818	SAMN04280391	SRR2937000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937000/SRR2937000.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937000/SRR2937000.fastq.gz	GSM1945941	4sU-seq of YRI individual (NA18502) [18502-30-1_C30NNACXX-4-18]
PRJNA302818	SAMN04280392	SRR2937001			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937001/SRR2937001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937001/SRR2937001.fastq.gz	GSM1945942	4sU-seq of YRI individual (NA18502) [18502-30-2_C30BHACXX-7-07]
PRJNA302818	SAMN04280393	SRR2937002			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937002/SRR2937002.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937002/SRR2937002.fastq.gz	GSM1945943	4sU-seq of YRI individual (NA18502) [18502-30-2_C30NNACXX-7-07]
