Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,Bytes,cell_line_id,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),incubated_with_4su_for,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2936973,RNA-Seq,50,489311250,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18486,PRJNA302818,SAMN04280364,215263743,NA18486,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439676,GSM1945914,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945914,4sU-seq of YRI individual NA18486_30min,SRP066450
SRR2936974,RNA-Seq,50,767654250,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18486,PRJNA302818,SAMN04280365,351737503,NA18486,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439677,GSM1945915,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945915,4sU-seq of YRI individual NA18486_30min,SRP066450
SRR2936975,RNA-Seq,50,800000000,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18486,PRJNA302818,SAMN04280366,350870854,NA18486,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439678,GSM1945916,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945916,4sU-seq of YRI individual NA18486_60min,SRP066450
SRR2936976,RNA-Seq,50,558644650,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18486,PRJNA302818,SAMN04280367,254884855,NA18486,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439679,GSM1945917,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945917,4sU-seq of YRI individual NA18486_60min,SRP066450
SRR2936977,RNA-Seq,50,800000000,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18489,PRJNA302818,SAMN04280368,367848038,NA18489,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439680,GSM1945918,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945918,4sU-seq of YRI individual NA18489_30min,SRP066450
SRR2936978,RNA-Seq,50,800000000,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18489,PRJNA302818,SAMN04280369,366950059,NA18489,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439681,GSM1945919,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945919,4sU-seq of YRI individual NA18489_60min,SRP066450
SRR2936979,RNA-Seq,50,399095900,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280370,182584014,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439682,GSM1945920,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945920,4sU-seq of YRI individual NA18498_30min,SRP066450
SRR2936980,RNA-Seq,52,632370596,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280371,424804304,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439683,GSM1945921,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945921,4sU-seq of YRI individual NA18498_30min,SRP066450
SRR2936981,RNA-Seq,52,592132060,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280372,440455627,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439684,GSM1945922,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945922,4sU-seq of YRI individual NA18498_30min,SRP066450
SRR2936982,RNA-Seq,52,689113620,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280373,486028475,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439685,GSM1945923,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945923,4sU-seq of YRI individual NA18498_30min,SRP066450
