IndID	Phenotype	RepNumber	n
NA18486	Expression.Splicing	1	4
NA18498	Expression.Splicing	1	4
NA18499	Expression.Splicing	1	4
NA18502	Expression.Splicing	1	4
NA18505	Expression.Splicing	1	4
NA18508	Expression.Splicing	1	4
NA18510	Expression.Splicing	1	4
NA18511	Expression.Splicing	1	4
NA18519	Expression.Splicing	1	4
NA18520	Expression.Splicing	1	4
NA18858	Expression.Splicing	1	4
NA18870	Expression.Splicing	1	4
NA19092	Expression.Splicing	1	4
NA19098	Expression.Splicing	1	4
NA19099	Expression.Splicing	1	4
NA19102	Expression.Splicing	1	4
NA19108	Expression.Splicing	1	4
NA19119	Expression.Splicing	1	4
NA19130	Expression.Splicing	1	4
NA19131	Expression.Splicing	1	4
NA19137	Expression.Splicing	1	4
NA19138	Expression.Splicing	1	4
NA19141	Expression.Splicing	1	4
NA19143	Expression.Splicing	1	4
NA19147	Expression.Splicing	1	4
NA19152	Expression.Splicing	1	4
NA19153	Expression.Splicing	1	4
NA19190	Expression.Splicing	1	4
NA19200	Expression.Splicing	1	4
NA19201	Expression.Splicing	1	4
NA19206	Expression.Splicing	1	4
NA19209	Expression.Splicing	1	4
NA19210	Expression.Splicing	1	4
NA19225	Expression.Splicing	1	4
NA19257	Expression.Splicing	1	4
NA18486	MetabolicLabelled.30min	1	4
NA18486	MetabolicLabelled.60min	1	4
NA18498	MetabolicLabelled.30min	1	4
NA18498	MetabolicLabelled.60min	1	4
NA18499	MetabolicLabelled.30min	1	4
NA18499	MetabolicLabelled.60min	1	4
NA18502	MetabolicLabelled.30min	1	4
NA18502	MetabolicLabelled.60min	1	4
NA18505	MetabolicLabelled.30min	1	4
NA18505	MetabolicLabelled.60min	1	4
NA18508	MetabolicLabelled.30min	1	4
NA18508	MetabolicLabelled.60min	1	4
NA18510	MetabolicLabelled.30min	1	4
NA18510	MetabolicLabelled.60min	1	4
NA18511	MetabolicLabelled.30min	1	4
NA18511	MetabolicLabelled.60min	1	4
NA18519	MetabolicLabelled.30min	1	4
NA18519	MetabolicLabelled.60min	1	4
NA18520	MetabolicLabelled.30min	1	4
NA18520	MetabolicLabelled.60min	1	4
NA18858	MetabolicLabelled.30min	1	4
NA18858	MetabolicLabelled.60min	1	4
NA18870	MetabolicLabelled.30min	1	4
NA18870	MetabolicLabelled.60min	1	4
NA19092	MetabolicLabelled.30min	1	4
NA19092	MetabolicLabelled.60min	1	4
NA19098	MetabolicLabelled.30min	1	4
NA19098	MetabolicLabelled.60min	1	4
NA19099	MetabolicLabelled.30min	1	4
NA19099	MetabolicLabelled.60min	1	4
NA19102	MetabolicLabelled.30min	1	4
NA19102	MetabolicLabelled.60min	1	4
NA19108	MetabolicLabelled.30min	1	4
NA19108	MetabolicLabelled.60min	1	4
NA19119	MetabolicLabelled.30min	1	4
NA19119	MetabolicLabelled.60min	1	4
NA19130	MetabolicLabelled.30min	1	4
NA19130	MetabolicLabelled.60min	1	4
NA19131	MetabolicLabelled.30min	1	4
NA19131	MetabolicLabelled.60min	1	4
NA19137	MetabolicLabelled.30min	1	4
NA19137	MetabolicLabelled.60min	1	4
NA19138	MetabolicLabelled.30min	1	4
NA19138	MetabolicLabelled.60min	1	4
NA19141	MetabolicLabelled.30min	1	4
NA19141	MetabolicLabelled.60min	1	4
NA19143	MetabolicLabelled.30min	1	4
NA19143	MetabolicLabelled.60min	1	4
NA19147	MetabolicLabelled.30min	1	4
NA19147	MetabolicLabelled.60min	1	4
NA19152	MetabolicLabelled.30min	1	4
NA19152	MetabolicLabelled.60min	1	4
NA19153	MetabolicLabelled.30min	1	4
NA19153	MetabolicLabelled.60min	1	4
NA19190	MetabolicLabelled.30min	1	4
NA19190	MetabolicLabelled.60min	1	4
NA19200	MetabolicLabelled.30min	1	4
NA19200	MetabolicLabelled.60min	1	4
NA19201	MetabolicLabelled.30min	1	4
NA19201	MetabolicLabelled.60min	1	4
NA19206	MetabolicLabelled.30min	1	4
NA19206	MetabolicLabelled.60min	1	4
NA19209	MetabolicLabelled.30min	1	4
NA19209	MetabolicLabelled.60min	1	4
NA19210	MetabolicLabelled.30min	1	4
NA19210	MetabolicLabelled.60min	1	4
NA19225	MetabolicLabelled.30min	1	4
NA19225	MetabolicLabelled.60min	1	4
NA19257	MetabolicLabelled.30min	1	4
NA19257	MetabolicLabelled.60min	1	4
NA18499	chRNA.Expression.Splicing	1	4
NA18511	chRNA.Expression.Splicing	1	4
NA19098	chRNA.Expression.Splicing	1	4
NA19141	chRNA.Expression.Splicing	1	4
NA19210	chRNA.Expression.Splicing	1	4
NA19102	chRNA.Expression.Splicing	1	4
NA19190	chRNA.Expression.Splicing	1	4
NA19147	chRNA.Expression.Splicing	1	4
NA19131	chRNA.Expression.Splicing	1	4
NA19138	chRNA.Expression.Splicing	1	4
NA19130	chRNA.Expression.Splicing	1	4
NA19099	chRNA.Expression.Splicing	1	4
NA19200	chRNA.Expression.Splicing	1	4
NA19257	chRNA.Expression.Splicing	1	4
NA18486	chRNA.Expression.Splicing	1	4
NA19137	chRNA.Expression.Splicing	1	4
NA18520	chRNA.Expression.Splicing	1	4
NA19152	chRNA.Expression.Splicing	1	4
NA19119	chRNA.Expression.Splicing	1	4
NA18510	chRNA.Expression.Splicing	1	4
NA19225	chRNA.Expression.Splicing	1	4
NA19206	chRNA.Expression.Splicing	1	4
NA18870	chRNA.Expression.Splicing	1	4
NA18858	chRNA.Expression.Splicing	1	4
NA19092	chRNA.Expression.Splicing	1	4
NA19201	chRNA.Expression.Splicing	1	4
NA18508	chRNA.Expression.Splicing	1	4
NA18519	chRNA.Expression.Splicing	1	4
NA19153	chRNA.Expression.Splicing	1	4
NA19143	chRNA.Expression.Splicing	1	4
NA19209	chRNA.Expression.Splicing	1	4
NA18498	chRNA.Expression.Splicing	1	4
NA19108	chRNA.Expression.Splicing	1	4
NA18505	chRNA.Expression.Splicing	1	4
NA18502	chRNA.Expression.Splicing	1	4
