IndID	Assay	Phenotype	study_accession	R1_ftp	R2_ftp	R1_aspera	R2_aspera	R1_local	R2_local	notes	IsIn1KG.Phase3	Include	RepNumber	PairedEnd
SAMEA8691110	ONT	CTRL1_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/001/ERR5880581/ERR5880581.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/001/ERR5880581/ERR5880581.fastq.gz					False	False	1	False
SAMEA8691111	ONT	CTRL2_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/002/ERR5880582/ERR5880582.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/002/ERR5880582/ERR5880582.fastq.gz					False	False	1	False
SAMEA8691112	ONT	SMG6_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/003/ERR5880583/ERR5880583.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/003/ERR5880583/ERR5880583.fastq.gz					False	False	1	False
SAMEA8691113	ONT	SMG6_SMG7_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/004/ERR5880584/ERR5880584.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/004/ERR5880584/ERR5880584.fastq.gz					False	False	1	False
SAMEA8691114	ONT	SMG7_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/005/ERR5880585/ERR5880585.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/005/ERR5880585/ERR5880585.fastq.gz					False	False	1	False
SAMEA8691115	ONT	UPF1_shRNA	PRJEB44747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR588/006/ERR5880586/ERR5880586.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/ERR588/006/ERR5880586/ERR5880586.fastq.gz					False	False	1	False
SAMN12726878	ONT	K562_4sUchr_ONT_4	PRJNA507789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/003/SRR10097603/SRR10097603_1.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR100/003/SRR10097603/SRR10097603_1.fastq.gz					False	False	1	False
SAMN12726877	ONT	K562_4sUchr_ONT_5a	PRJNA507789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/004/SRR10097604/SRR10097604_1.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR100/004/SRR10097604/SRR10097604_1.fastq.gz					False	False	1	False
SAMN12726876	ONT	K562_4sUchr_ONT_5b	PRJNA507789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/005/SRR10097605/SRR10097605_1.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR100/005/SRR10097605/SRR10097605_1.fastq.gz					False	False	1	False
SAMN12726875	ONT	BL1184_4sUchr_ONT_1	PRJNA507789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/006/SRR10097606/SRR10097606_1.fastq.gz		fasp.sra.ebi.ac.uk:/vol1/fastq/SRR100/006/SRR10097606/SRR10097606_1.fastq.gz					False	False	1	False
