IndID	Assay	Phenotype	study_accession	R1_ftp	R2_ftp	R1_aspera	R2_aspera	R1_local	R2_local	notes	IsIn1KG.Phase3	Include	RepNumber	PairedEnd
HG00096	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188040/ERR188040_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00097	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188231/ERR188231_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188231/ERR188231_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00099	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188428/ERR188428_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188428/ERR188428_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00100	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188206/ERR188206_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188206/ERR188206_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00101	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188307/ERR188307_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188307/ERR188307_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00102	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188416/ERR188416_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188416/ERR188416_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00103	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188136/ERR188136_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188136/ERR188136_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00104	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188247/ERR188247_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188247/ERR188247_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00105	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188368/ERR188368_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188368/ERR188368_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00106	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188167/ERR188167_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188167/ERR188167_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00108	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188166/ERR188166_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188166/ERR188166_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
