ExpectedSampleID	BestMatch	fn	IsSwapped
NA18497	NA19130	QC/mbv/data/chRNA.Expression.Splicing/NA18497.1.txt	TRUE
NA18499	NA19209	QC/mbv/data/chRNA.Expression.Splicing/NA18499.1.txt	TRUE
NA18505	NA18486	QC/mbv/data/chRNA.Expression.Splicing/NA18505.1.txt	TRUE
NA18508	NA18499	QC/mbv/data/chRNA.Expression.Splicing/NA18508.1.txt	TRUE
NA18511	NA18511	QC/mbv/data/chRNA.Expression.Splicing/NA18511.1.txt	FALSE
NA18519	NA18519	QC/mbv/data/chRNA.Expression.Splicing/NA18519.1.txt	FALSE
NA18522	NA18852	QC/mbv/data/chRNA.Expression.Splicing/NA18522.1.txt	TRUE
NA18852	NA18520	QC/mbv/data/chRNA.Expression.Splicing/NA18852.1.txt	TRUE
NA18858	NA18858	QC/mbv/data/chRNA.Expression.Splicing/NA18858.1.txt	FALSE
NA18909	NA18909	QC/mbv/data/chRNA.Expression.Splicing/NA18909.1.txt	FALSE
NA18912	NA18912	QC/mbv/data/chRNA.Expression.Splicing/NA18912.1.txt	FALSE
NA18913	NA18913	QC/mbv/data/chRNA.Expression.Splicing/NA18913.1.txt	FALSE
NA19093	NA19093	QC/mbv/data/chRNA.Expression.Splicing/NA19093.1.txt	FALSE
NA19101	NA19101	QC/mbv/data/chRNA.Expression.Splicing/NA19101.1.txt	FALSE
NA19102	NA19099	QC/mbv/data/chRNA.Expression.Splicing/NA19102.1.txt	TRUE
NA19119	NA19119	QC/mbv/data/chRNA.Expression.Splicing/NA19119.1.txt	FALSE
NA19128	NA19140	QC/mbv/data/chRNA.Expression.Splicing/NA19128.1.txt	TRUE
NA19128	NA18508	QC/mbv/data/chRNA.Expression.Splicing/NA19128.2.txt	TRUE
NA19130	NA19130	QC/mbv/data/chRNA.Expression.Splicing/NA19130.1.txt	FALSE
NA19131	NA19131	QC/mbv/data/chRNA.Expression.Splicing/NA19131.1.txt	FALSE
NA19137	NA19152	QC/mbv/data/chRNA.Expression.Splicing/NA19137.1.txt	TRUE
NA19138	NA19138	QC/mbv/data/chRNA.Expression.Splicing/NA19138.1.txt	FALSE
NA19140	NA18522	QC/mbv/data/chRNA.Expression.Splicing/NA19140.1.txt	TRUE
NA19141	NA19190	QC/mbv/data/chRNA.Expression.Splicing/NA19141.1.txt	TRUE
NA19153	NA19171	QC/mbv/data/chRNA.Expression.Splicing/NA19153.1.txt	TRUE
NA19171	NA19200	QC/mbv/data/chRNA.Expression.Splicing/NA19171.1.txt	TRUE
NA19190	NA19114	QC/mbv/data/chRNA.Expression.Splicing/NA19190.1.txt	TRUE
NA19200	NA19160	QC/mbv/data/chRNA.Expression.Splicing/NA19200.1.txt	TRUE
NA19201	NA19225	QC/mbv/data/chRNA.Expression.Splicing/NA19201.1.txt	TRUE
NA19207	NA19257	QC/mbv/data/chRNA.Expression.Splicing/NA19207.1.txt	TRUE
NA19209	NA19238	QC/mbv/data/chRNA.Expression.Splicing/NA19209.1.txt	TRUE
NA19210	NA19137	QC/mbv/data/chRNA.Expression.Splicing/NA19210.1.txt	TRUE
NA19257	NA18505	QC/mbv/data/chRNA.Expression.Splicing/NA19257.1.txt	TRUE
NA18486	NA	NA	NA
NA18520	NA	NA	NA
NA18907	NA	NA	NA
NA19114	NA	NA	NA
NA19152	NA	NA	NA
NA19160	NA	NA	NA
NA19223	NA	NA	NA
NA19225	NA	NA	NA
NA19238	NA	NA	NA
