CollectionDate	IndID	R1_local	R2_local	RepNumber
8/13/20	NA19137	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A01_S1_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A01_S1_R2_001.fastq.gz	1
8/13/20	NA19152	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A02_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A02_S2_R2_001.fastq.gz	1
8/13/20	NA19153	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A03_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A03_S3_R2_001.fastq.gz	1
8/13/20	NA19171	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A04_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A04_S4_R2_001.fastq.gz	1
8/13/20	NA19200	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A05_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A05_S5_R2_001.fastq.gz	1
8/13/20	NA19160	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A06_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A06_S6_R2_001.fastq.gz	1
8/13/20	NA19092	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A07_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A07_S7_R2_001.fastq.gz	1
8/13/20	NA19210	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A08_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A08_S8_R2_001.fastq.gz	1
8/13/20	NA19119	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A09_S9_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A09_S9_R2_001.fastq.gz	1
8/13/20	NA18909	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A10_S10_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A10_S10_R2_001.fastq.gz	1
8/13/20	NA18912	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A11_S11_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A11_S11_R2_001.fastq.gz	1
8/13/20	NA19131	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A12_S12_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-A12_S12_R2_001.fastq.gz	1
8/13/20	NA19130	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B01_S13_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B01_S13_R2_001.fastq.gz	1
8/13/20	NA18519	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B02_S14_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B02_S14_R2_001.fastq.gz	1
8/13/20	NA19093	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B03_S15_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B03_S15_R2_001.fastq.gz	1
8/13/20	NA18511	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B04_S16_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B04_S16_R2_001.fastq.gz	1
8/13/20	NA18858	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B05_S17_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20220422_CutAndTagH3K36me3_FullData_NovaS2/YLi-BF-1-B05_S17_R2_001.fastq.gz	1
