Line	Antibody	R1	R2
18511	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18511-H3K36me3_S16_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18511-H3K36me3_S16_R2_001.fastq.gz
18519	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18519-H3K36me3_S13_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18519-H3K36me3_S13_R2_001.fastq.gz
18856	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18856-H3K36me3_S10_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18856-H3K36me3_S10_R2_001.fastq.gz
18858	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18858-H3K36me3_S18_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18858-H3K36me3_S18_R2_001.fastq.gz
18861	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18861-H3K36me3_S7_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18861-H3K36me3_S7_R2_001.fastq.gz
18909	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18909-H3K36me3_S12_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18909-H3K36me3_S12_R2_001.fastq.gz
18912	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18912-H3K36me3_S19_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18912-H3K36me3_S19_R2_001.fastq.gz
18913	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18913-H3K36me3_S20_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-18913-H3K36me3_S20_R2_001.fastq.gz
19093	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-19093-H3K36me3_S14_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-19093-H3K36me3_S14_R2_001.fastq.gz
19099	H3K36me3	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-19099-H3K36me3_S8_R1_001.fastq.gz	/project2/yangili1/bjf79/SequencingData/20201103_H3K36me3CutAndTag_chRNAseq/FastQ/YLi-BF-2-19099-H3K36me3_S8_R2_001.fastq.gz
