Box	Position	Line	Notes1
3	16	19102	NA
3	37	18501	NA
3	48	18504	NA
4	28	19207	NA
4	37	19159	NA
4	43	19114	NA
4	46	19127	NA
4	64	19209	NA
5	64	18870	*Ben took this and is in the midst of stocking a replacement
6	10	19223	NA
6	73	19143	NA
6	78	19144	NA
7	1	19190	NA
7	7	19147	NA
7	10	18852	NA
7	15	18486	NA
7	19	19203	NA
7	28	18508	NA
7	42	19116	NA
7	54	18499	NA
7	61	18862	NA
8	1	19201	NA
8	8	18861	NA
8	9	18498	NA
8	10	19222	NA
8	37	18505	NA
8	52	19140	NA
9	12	19204	NA
9	27	18855	NA
9	30	18510	*Ben took this and is in the midst of stocking a replacement
9	37	19141	NA
10	10	18522	NA
