Line	Plate												
19128	9												
18915	9												
19108	9												
19206	9												
19104	9												
19107	9												
18934	9												
18876	9												
18881	9												
18877	9												
19098	9												
19095	9												
19203	11												
19150	11												
19146	11												
18862	11												
19193A	11												
19096	11												
19147	11												
18516	11												
19143	11												
19166	11												
19105	11												
19198	11												
18910	12												
18504	12												
18516	12												
18915	12												
18502	12												
19144	12												
19108	12												
18853	12												
18924	12												
18859	12												
	12												
18877	12												
19193B	13												
	13												
18867	13												
	13												
18498	13												
	13												
18881	13												
	13												
18523	13												
18871*	13												
18517	13												
19198*	13												
19141	14												
19143	14												
19117	14												
18867	14												
19118	14												
18910	14												
19236	14												
19247	14												
19159	14												
19207	14												
18868	14												
18870	14												
	15												
18879	15												
	15												
18923	15												
19196	15												
18917	15												
19254	15												
18864	15												
19121	15												
18507	15												
19214	15												
19239	15												
