"ID","Description","Affected Status","Product","Source","Mutations","Sex","Age at Sampling","Race","Family","Relationship to Proband","Family Member Number"
GM18877,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y020,father,3
GM18881,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,,proband,
GM19105,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,,proband,
GM18915,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,,proband,
GM19189,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y111,father,3
GM19225,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y057,mother,2
GM19114,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y079,mother,2
GM18498,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y003,father,3
GM18489,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y002,mother,2
GM18519,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y014,father,3
GM19147,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y075,mother,2
GM19257,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y092,mother,2
GM18916,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y030,mother,2
GM18924,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y033,mother,2
GM18867,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y007,mother,2
GM18488,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y001,mother,2
GM18873,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y019,mother,2
GM18907,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y025,mother,2
GM18909,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Female,,,Y027,mother,2
GM18868,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,Y007,father,3
GM18908,"INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA | INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA (PLATE II) | 1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN, NIGERIA",,LCL,B-Lymphocyte,,Male,,,,proband,
