	2919
*Ben	10
07022	16
1	15
111301	11
111611	13
11171	11
111781	21
111801	4
11807	15
11830	10
11831	19
11992	15
11993	13
11995	13
12044	15
12145	19
12264	14
12814	20
160881	8
18097	3
18192	7
18323	3
18486	4
18489	2
18497	7
18498	19
18499	10
18500	7
18501	11
18502	15
18503	9
18504	13
18505	19
18508	22
18509	9
18510	1
18511	8
18515	7
18516	23
18517	17
18518	8
18519	7
18521	9
18522	12
18592	5
18852	11
18853	16
18854	8
18855	10
18856	2
18857	9
18858	10
18859	15
18860	9
18861	8
18862	9
18863	9
18870	11
18871	3
18872	8
18907	7
18909	1
18912	5
18913	8
18914	9
18916	1
19092	9
19093	12
19099	9
19100	8
19101	4
19102	19
19103	9
19114	12
19116	4
19119	16
19120	9
19127	14
19129	9
19130	18
19131	12
19132	9
19137	1
19138	13
19139	8
19140	3
19141	15
19142	9
19143	11
19144	3
19145	8
19147	3
19152	9
19153	9
19159	6
19160	2
19161	9
19171	11
19173	9
19190	10
19192	12
19193	2
19194	9
19200	9
19201	12
19202	9
19203	7
19204	9
19205	9
19206	10
19207	12
19208	7
19209	4
19210	22
19211	9
19221	9
19222	9
19223	10
19225	2
19238	24
19239	12
19257	6
2	15
3	15
4	15
5	15
6	15
7	15
7/18/07	15
8	15
9	15
Human	1
banked	3
for	3
