Human LCL ID	Box
11171	14
11301	14
11781	14
11807	3
12044	3
12264	3
18097	6
18192	5
18323	9
18486	7
18489	12
18497	13
18498	8,9
18499	7,9
18500	11
18501	3
18502	7,9,15
18503	11
18504	3,6,10
18505	8,9,10
18508	7,9,10
18509	11
18510	9
18511	7
18515	12
18516	5,10
18517	6,7,8,16
18518	12
18519	8,12
18521	12
18522	10,16
18592	8
18852	7
18853	8,15
18855	9,10
18856	7
18857	13
18858	8
18859	6,16
18860	13
18861	15
18862	7,8,9
18870	5
18871	3
18872	11
18907	4
18909	7
18912	4,9
18913	6,7,10
18914	13
18916	7
19092	5
19093	5
19099	4,15
19100	11
19101	6,12
19102	3,9,16
19103	10
19114	4,9
19116	7
19119	5,12
19120	14
19127	4,6
19129	12
19130	4,6,15
19131	6,9,12
19132	12
19137	4
19138	15
19139	5
19140	8
19141	9,16
19142	11
19143	6,9,12
19144	6
19145	11
19147	7
19152	4,6
19153	12,15
19159	4
19160	9
19161	13
19171	4
19173	13
19190	7,12
19192	7,10
19193	9
19194	12
19200	4
19201	8,15
19202	11
19203	7
19204	9
19205	13
19206	4
19207	4,16
19209	4
19210	3,15
19211	11,13
19222	8
19223	6,8
19225	6
19238	3,6,7,9,10
19239	15
19257	7
111301	14
111611	14
111611	14
111781	14
111801	14
160881	14
07022	1
11807	2
11830	1
11831	2
11992	1
11993	1
11995	2
12145	1
12814	2
18854	2
19208	2
