#Columns I-K in this sheet references contents of cells in Human LCLs tab. tab separated values (tsv) organized like this is easier to parse with computer										
#ColumnsA-F are there to help me easily make the correct reference equations for columns I-K. Once you have a string for the desired cell equation, (minus the '=' sign, like in columns D-F) use search/replace to insert the '=' sign at the beginning of the string										
LineRowNumber	LineColumnNumber	LineColumnLetter	LineReferenceString	Notes1ReferenceString	Notes2ReferenceString	Box	Position	Line	Notes1	Notes2
4	2	B	Human LCLs'!B4	Human LCLs'!B5	Human LCLs'!B6	1	1	11992	7/18/07	
4	3	C	Human LCLs'!C4	Human LCLs'!C5	Human LCLs'!C6	1	2	11992	7/18/07	
4	4	D	Human LCLs'!D4	Human LCLs'!D5	Human LCLs'!D6	1	3	11992	7/18/07	
4	5	E	Human LCLs'!E4	Human LCLs'!E5	Human LCLs'!E6	1	4	11992	7/18/07	
4	6	F	Human LCLs'!F4	Human LCLs'!F5	Human LCLs'!F6	1	5	11992	7/18/07	
4	7	G	Human LCLs'!G4	Human LCLs'!G5	Human LCLs'!G6	1	6	11992	7/18/07	
4	8	H	Human LCLs'!H4	Human LCLs'!H5	Human LCLs'!H6	1	7	11992	7/18/07	
4	9	I	Human LCLs'!I4	Human LCLs'!I5	Human LCLs'!I6	1	8	11992	7/18/07	
4	10	J	Human LCLs'!J4	Human LCLs'!J5	Human LCLs'!J6	1	9	11992	7/18/07	
7	2	B	Human LCLs'!B7	Human LCLs'!B8	Human LCLs'!B9	1	10	11992	7/18/07	
7	3	C	Human LCLs'!C7	Human LCLs'!C8	Human LCLs'!C9	1	11	11992	7/18/07	
7	4	D	Human LCLs'!D7	Human LCLs'!D8	Human LCLs'!D9	1	12	11992	7/18/07	
7	5	E	Human LCLs'!E7	Human LCLs'!E8	Human LCLs'!E9	1	13	11992	7/18/07	
7	6	F	Human LCLs'!F7	Human LCLs'!F8	Human LCLs'!F9	1	14	11992	7/18/07	
7	7	G	Human LCLs'!G7	Human LCLs'!G8	Human LCLs'!G9	1	15	11992	7/18/07	
7	8	H	Human LCLs'!H7	Human LCLs'!H8	Human LCLs'!H9	1	16			
7	9	I	Human LCLs'!I7	Human LCLs'!I8	Human LCLs'!I9	1	17			
7	10	J	Human LCLs'!J7	Human LCLs'!J8	Human LCLs'!J9	1	18			
10	2	B	Human LCLs'!B10	Human LCLs'!B11	Human LCLs'!B12	1	19	11993		
10	3	C	Human LCLs'!C10	Human LCLs'!C11	Human LCLs'!C12	1	20	11993		
10	4	D	Human LCLs'!D10	Human LCLs'!D11	Human LCLs'!D12	1	21	11993		
10	5	E	Human LCLs'!E10	Human LCLs'!E11	Human LCLs'!E12	1	22	11993		
10	6	F	Human LCLs'!F10	Human LCLs'!F11	Human LCLs'!F12	1	23	11993		
10	7	G	Human LCLs'!G10	Human LCLs'!G11	Human LCLs'!G12	1	24	11993		
10	8	H	Human LCLs'!H10	Human LCLs'!H11	Human LCLs'!H12	1	25	11993		
10	9	I	Human LCLs'!I10	Human LCLs'!I11	Human LCLs'!I12	1	26	11993		
10	10	J	Human LCLs'!J10	Human LCLs'!J11	Human LCLs'!J12	1	27	11993		
13	2	B	Human LCLs'!B13	Human LCLs'!B14	Human LCLs'!B15	1	28	11993		
13	3	C	Human LCLs'!C13	Human LCLs'!C14	Human LCLs'!C15	1	29	11993		
13	4	D	Human LCLs'!D13	Human LCLs'!D14	Human LCLs'!D15	1	30	11993		
13	5	E	Human LCLs'!E13	Human LCLs'!E14	Human LCLs'!E15	1	31	11993		
13	6	F	Human LCLs'!F13	Human LCLs'!F14	Human LCLs'!F15	1	32			
13	7	G	Human LCLs'!G13	Human LCLs'!G14	Human LCLs'!G15	1	33			
13	8	H	Human LCLs'!H13	Human LCLs'!H14	Human LCLs'!H15	1	34			
13	9	I	Human LCLs'!I13	Human LCLs'!I14	Human LCLs'!I15	1	35			
13	10	J	Human LCLs'!J13	Human LCLs'!J14	Human LCLs'!J15	1	36			
16	2	B	Human LCLs'!B16	Human LCLs'!B17	Human LCLs'!B18	1	37	12145		
16	3	C	Human LCLs'!C16	Human LCLs'!C17	Human LCLs'!C18	1	38	12145		
16	4	D	Human LCLs'!D16	Human LCLs'!D17	Human LCLs'!D18	1	39	12145		
16	5	E	Human LCLs'!E16	Human LCLs'!E17	Human LCLs'!E18	1	40	12145		
16	6	F	Human LCLs'!F16	Human LCLs'!F17	Human LCLs'!F18	1	41	12145		
16	7	G	Human LCLs'!G16	Human LCLs'!G17	Human LCLs'!G18	1	42	12145		
16	8	H	Human LCLs'!H16	Human LCLs'!H17	Human LCLs'!H18	1	43	12145		
16	9	I	Human LCLs'!I16	Human LCLs'!I17	Human LCLs'!I18	1	44	12145		
16	10	J	Human LCLs'!J16	Human LCLs'!J17	Human LCLs'!J18	1	45	12145		
19	2	B	Human LCLs'!B19	Human LCLs'!B20	Human LCLs'!B21	1	46	12145		
19	3	C	Human LCLs'!C19	Human LCLs'!C20	Human LCLs'!C21	1	47	12145		
19	4	D	Human LCLs'!D19	Human LCLs'!D20	Human LCLs'!D21	1	48	12145		
19	5	E	Human LCLs'!E19	Human LCLs'!E20	Human LCLs'!E21	1	49	12145		
19	6	F	Human LCLs'!F19	Human LCLs'!F20	Human LCLs'!F21	1	50	12145		
19	7	G	Human LCLs'!G19	Human LCLs'!G20	Human LCLs'!G21	1	51	12145		
19	8	H	Human LCLs'!H19	Human LCLs'!H20	Human LCLs'!H21	1	52	12145		
19	9	I	Human LCLs'!I19	Human LCLs'!I20	Human LCLs'!I21	1	53	12145		
19	10	J	Human LCLs'!J19	Human LCLs'!J20	Human LCLs'!J21	1	54	12145		
22	2	B	Human LCLs'!B22	Human LCLs'!B23	Human LCLs'!B24	1	55	12145		
22	3	C	Human LCLs'!C22	Human LCLs'!C23	Human LCLs'!C24	1	56	07022		
22	4	D	Human LCLs'!D22	Human LCLs'!D23	Human LCLs'!D24	1	57	07022		
22	5	E	Human LCLs'!E22	Human LCLs'!E23	Human LCLs'!E24	1	58	07022		
22	6	F	Human LCLs'!F22	Human LCLs'!F23	Human LCLs'!F24	1	59	07022		
22	7	G	Human LCLs'!G22	Human LCLs'!G23	Human LCLs'!G24	1	60	07022		
22	8	H	Human LCLs'!H22	Human LCLs'!H23	Human LCLs'!H24	1	61	07022		
22	9	I	Human LCLs'!I22	Human LCLs'!I23	Human LCLs'!I24	1	62	07022		
22	10	J	Human LCLs'!J22	Human LCLs'!J23	Human LCLs'!J24	1	63	07022		
25	2	B	Human LCLs'!B25	Human LCLs'!B26	Human LCLs'!B27	1	64	07022		
25	3	C	Human LCLs'!C25	Human LCLs'!C26	Human LCLs'!C27	1	65	07022		
25	4	D	Human LCLs'!D25	Human LCLs'!D26	Human LCLs'!D27	1	66	07022		
25	5	E	Human LCLs'!E25	Human LCLs'!E26	Human LCLs'!E27	1	67	07022		
25	6	F	Human LCLs'!F25	Human LCLs'!F26	Human LCLs'!F27	1	68	07022		
25	7	G	Human LCLs'!G25	Human LCLs'!G26	Human LCLs'!G27	1	69	07022		
