Cell Line	Used In Final analysis	CellFractionedAttempted?	Thawed	Thaw Notes	Additional Notes	Raw Count1 (x10^6)	RawCount2	Percent Alive1	Percent Alive2	MeanLiveDensity (1E6 cells/mL)	Vol to 30M cells	Volume to 50mL	Mean live density on collection day	Cell Line	Alt Identifier (Batch, Plate, Well)	Stock Date	Max volume culture volume in conical	Estimated cell count for stocking (M cells)	Estimated cell density after resuspending in 2mL cryo-media	RNA sample location	chRNA NanoDrop (ng/uL); total yield is 25uL	chRNA qubit (ng/uL); total yield is 25uL	chRNA qubit after dilution factor correction	qubit/nanodrop	chRNA concentration estimate (based on nanodrop reading, and scaling by a constant estimated from a few qubit readings)	nucRNA NanoDrop (ng/uL); total yield is 25uL	nucRNA qubit (ng/uL); total yield is 25uL	nucRNA qubit after dilution factor correction (ng/uL)	nucRNA qubit total RNA amounts	NOTES	More Notes	Date of chRNA-seq library Prep
19137		Y	8/13/20	Bri's box		0.981	0.368	75	55	0.93815	31.97782871	18.02217129	1.08692	19137	1-1-A1						789.4	NA	#VALUE!	#VALUE!	572.315	51.8	0.198	39.6				2/17/21
19152		Y	8/13/20	Bri's box		1.36	0.986	67	68	1.58168	18.96717414	31.03282586		19152	1-1-A2						1392.8	NA	#VALUE!	#VALUE!	1009.78	191	0.711	142.2				2/17/21
19153		Y	8/13/20	Bri's box		0.574	0.735	83	84	1.09382	27.42681611	22.57318389		19153	1-1-A3						643.1	NA	#VALUE!	#VALUE!	466.2475	335.9	1.33	266				2/17/21
19171		Y	8/13/20	Bri's box		0.858	0.936	68	68	1.21992	24.59177651	25.40822349		19171	1-1-A4						988.2	3.7	740	74.8836268	716.445	113.8	0.415	83				2/17/21
19200		Y	8/13/20	Bri's box		1.15	1.25	67	63	1.558	19.25545571	30.74454429		19200	1-1-A5						797	3.04	608	76.28607277	577.825	121.9	0.439	87.8				2/17/21
19160		Y	8/13/20	Bri's box		0.596	0.953	67	75	1.11407	26.92828996	23.07171004		19160	1-1-A6						769.4	2.63	526	68.36495971	557.815	137.1	0.399	79.8				2/17/21
19092		Y	8/13/20	Bri's box		0.769	1.3	63	72	1.42047	21.11977022	28.88022978		19092	1-1-A7						672.5	2.26	452	67.21189591	487.5625	107.9	0.312	62.4				2/17/21
19210		Y	8/13/20	Bri's box		0.858	1.33	71	81	1.68648	17.78852996	32.21147004		19210	1-1-A8						1049.2	4.03	806	76.82043462	760.67	145.6	0.541	108.2				2/17/21
19207		Y	8/13/20	Bri's box	8/13: stock aliquot appeared more yellow than others									19207								NA	#VALUE!	#VALUE!	0			0				
19119		Y	8/13/20	Bri's box		1.08	1.47	74	72	1.8576	16.1498708	33.8501292		19119	1-1-A9						677.5	NA	#VALUE!	#VALUE!	491.1875	89.2	0.423	84.6				2/17/21
