Cell Line	chRNA NanoDrop (ng/uL); total yield is 25uL
19137	789.4
19152	1392.8
19153	643.1
19171	988.2
19200	797
19160	769.4
19092	672.5
19210	1049.2
19207	
19119	677.5
18909	1031.1
18912	853
19131	666.7
19130	1332.1
18519	668.9
19093	818.1
18511	549.3
18861	58.8
19144	
19140	1328.3
18858	1059.3
19138	799.5
18504	
18913	500
19101	1284.9
18856	837.5
19099	
18907	863.8
18501	
18504	
19207	
19159	
19209	
19223	
19143	
19144	
19147	
19203	
18508	
19116	
18862	
18861	
19222	
18505	
19204	
18510	
19102	446.6
19114	990.5
19127	718.3
18870	414.2
19190	204.3
18852	560.4
18486	928.7
18499	854.9
19201	407.5
18498	
19140	888
18855	290.2
19141	407.1
18522	790
18505	1714.1
18508	1221.6
19239	1183.4
19128	1882.6
19238	364.8
19223	948.2
19257	791.3
19128	1437.4
18520	882.7
18497	770.2
19209	1260.8
19225	1422.6
19207	632.2
GM19195B	778.3
GM18881A	739.3
GM19105B	1420.4
GM18915B	1195.5
GM19166D	1196.8
GM18498C	1023.9
GM18924C	467.9
GM18867C	750.3
GM18877A	461.7
GM19146B	333.9
GM19150B	578.7
GM19096B	379
GM19198B	546.3
GM18910B	522.8
GM19108B	359.2
GM19144C	
GM18859C	832.5
GM18523D	271.6
GM18504C	839.7
GM18516B	616.9
GM18871B	
GM18862C	851.7
GM19143B	874.8
GM19203C	368.1
18510	383.4
19147	568
18853	271.8
18502	370.2
18517	384.1
19193	
19193G	
19117	630.8
19206	1014
19214	658.7
18923	872
18934	688.3
18917	904.7
18507	1328.2
18523	421.9
18867	819
19223	1032
19128	733.8
19247	1530.6
18915	1195.8
19122	955.5
18864	1222.2
18881	1275
18877	756.4
19095	1529.3
19104	605
18879	873
19236	900.9
18868	467.5
19159	510.8
18870	709.4
19239	1577
18910	579.5
19207	618.7
18876	812.4
19108	636.5
19141	1126.6
19196	11
19098	1259.9
19254	1193
19121	1190.7
19107	875.6
19118	1427.7
19143	1598.9
