study_accession	sample_accession	run_accession	library_name	nominal_length	library_layout	library_selection	fastq_ftp	sample_alias
PRJEB1350	SAMEA1706514	ERR225832	2755451	215	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225832/ERR225832_2.fastq.gz	GM12005-sc-2011-06-09T13:38:28Z-1162237
PRJEB1350	SAMEA1706516	ERR225833	2755452	215	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225833/ERR225833_2.fastq.gz	GM12006-sc-2011-06-09T13:38:29Z-1162238
PRJEB1350	SAMEA1706509	ERR225834	2755449	230	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225834/ERR225834_2.fastq.gz	GM11992-sc-2011-06-09T13:38:24Z-1162231
PRJEB1350	SAMEA1706511	ERR225835	2755450	230	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225835/ERR225835_2.fastq.gz	GM11994-sc-2011-06-09T13:38:25Z-1162233
PRJEB1350	SAMEA1706504	ERR225836	2755447	229	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225836/ERR225836_2.fastq.gz	GM11894-sc-2011-06-09T13:38:21Z-1162226
PRJEB1350	SAMEA1706505	ERR225837	2755448	229	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225837/ERR225837_2.fastq.gz	GM11918-sc-2011-06-09T13:38:22Z-1162227
PRJEB1350	SAMEA1706501	ERR225838	2755445	233	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225838/ERR225838_2.fastq.gz	GM11832-sc-2011-06-09T13:38:20Z-1162223
PRJEB1350	SAMEA1706503	ERR225839	2755446	233	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225839/ERR225839_2.fastq.gz	GM11881-sc-2011-06-09T13:38:21Z-1162225
PRJEB1350	SAMEA1706504	ERR225840	2850734	219	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225840/ERR225840_2.fastq.gz	GM11894-sc-2011-06-09T13:38:21Z-1162226
PRJEB1350	SAMEA1706505	ERR225841	2850735	219	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225841/ERR225841_2.fastq.gz	GM11918-sc-2011-06-09T13:38:22Z-1162227
