PC	Alias	ShorterAlias	ShorterAlias2	Shortest	Include	Assay	Alias_202305	OrderFactor
APA_Nuclear	APA_Nuclear	APA_Nuclear	APA	APA QTLs*	T	Nuclear RNA 3'seq	APA (Nuclear RNA)	7.00
APA_Total	APA_Total	APA_Total	APA	APA QTLs*	T	Total RNA 3'seq	APA (Total RNA)	14.00
chRNA.Expression_ncRNA	Expression_chRNA.ncRNA	ncRNA_chRNA	ncRNA_chRNA		T			
chRNA.Expression_cheRNA	Expression_chRNA.ncRNA	ncRNA_chRNA	ncRNA_chRNA		F			
chRNA.Expression_eRNA	chRNA_ncRNA	ncRNA_chRNA	ncRNA_chRNA		F			
chRNA.Expression_lncRNA	chRNA_ncRNA	ncRNA_chRNA	ncRNA_chRNA		F			
chRNA.Expression_snoRNA		ncRNA_chRNA	ncRNA_chRNA		F			
chRNA.Expression.Splicing	ncRNA.Expression_chRNA	Expression_chRNA	Expression_chRNA	Expression; eQTLs	T	chRNA-seq		5.00
chRNA.IER		Splicing.IR_chRNA	Splicing.IR_chRNA		T			
chRNA.IR	chRNA_IR	Splicing.IR_chRNA	Splicing.IR_chRNA		F			
chRNA.IRjunctions		Splicing.IR_chRNA	Splicing.IR_chRNA		F			
chRNA.Slopes		slope_chRNA	slope_chRNA		F			
chRNA.Splicing	chRNA_Splicing	Splicing_chRNA	Splicing_chRNA	Splicing; sQTLs*	T	chRNA-seq		6.00
CTCF		CTCF	CTCF		F			
Expression.Splicing	Expression_polyA	Expression_polyA	Expression_polyA	Expression; eQTLs	F	polyA RNA-seq		10.00
Expression.Splicing.Subset_YRI		Expression_polyA	Expression_polyA	Expression; eQTLs (YRI only)	T	polyA RNA-seq		11.00
H3K27AC	H3K27AC	H3K27AC	H3K27AC|H3K4ME1|H3K4ME3	H3K27Ac; hQTLs	T	H3K27Ac ChIP-seq	H3K27Ac	2.00
H3K36ME3		H3K36ME3	H3K36ME3	H3K36me3; hQTLs	T	H3K36me3 ChIP-seq	H3K36me3	4.00
H3K4ME1	H3K4ME1	H3K4ME1	H3K27AC|H3K4ME1|H3K4ME3	H3K4me1; hQTLs	T	H3K4me1 ChIP-seq	H3K4me1	1.00
H3K4ME3	H3K4ME3	H3K4ME3	H3K27AC|H3K4ME1|H3K4ME3	H3K4me3; hQTLs	T	H3K4me3 ChIP-seq	H3K4me3	3.00
MetabolicLabelled.30min	Expression_Metabolic.30min	Expression_Metabolic.30min	Expression_Metabolic.30min	Expression; eQTLs	T	30min 4sU RNA-seq		8.50
MetabolicLabelled.30min.IER		Splicing_metabolic30	Splicing_metabolic30		F			
MetabolicLabelled.30min.IR		Splicing_metabolic30	Splicing_metabolic30		F			
MetabolicLabelled.30min.IRjunctions		Splicing_metabolic30	Splicing_metabolic30		F			
MetabolicLabelled.30min.Splicing	Splicing.Metabolic30min	Splicing_metabolic30	Splicing_metabolic30	Splicing	F	30min 4sU RNA-seq		8.00
MetabolicLabelled.60min		Expression_Metabolic.60min	Expression_Metabolic.60min	Expression; eQTLs	T	60min 4sU RNA-seq		9.00
MetabolicLabelled.60min.IER		Splicing_metabolic60	Splicing_metabolic60		F			
MetabolicLabelled.60min.IR		Splicing_metabolic60	Splicing_metabolic60		F			
MetabolicLabelled.60min.IRjunctions		Splicing_metabolic60	Splicing_metabolic60		F			
MetabolicLabelled.60min.Splicing	Splicing.Metabolic60min	Splicing_metabolic60	Splicing_metabolic60	Splicing	F	60min 4sU RNA-seq		9.50
polyA.IER		Splicing.IR_polyA	Splicing.IR_polyA		T			
polyA.IR	Splicing_polyA.IR	Splicing.IR_polyA	Splicing.IR_polyA		F			
polyA.IR.Subset_YRI	Splicing_IR_polyA	Splicing.IR_polyA	Splicing.IR_polyA		F			
polyA.IRjunctions		Splicing.IR_polyA	Splicing.IR_polyA		F			
polyA.Splicing	Splicing_polyA.AllGeauvadis	Splicing_polyA	Splicing_polyA	Splicing; sQTLs*	F	polyA RNA-seq		12.00
polyA.Splicing.Subset_YRI	Splicing	Splicing_polyA	Splicing_polyA	Splicing; sQTLs* (YRI only)	T	polyA RNA-seq		13.00
ProCap	ProCap	ProCap	ProCap		T			
